Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[20], FRANGE = (3, 30), QRANGE = (16, 32), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 20.0, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-03T05:20:46.660000Z | Window=±20s | Peak=4.8345e+02 | Mean=3.5559e+00
Trigger=2025-02-03T05:37:54.600000Z | Window=±20s | Peak=9.3611e+02 | Mean=8.2152e+00
Trigger=2025-02-03T05:48:34.140000Z | Window=±20s | Peak=3.8387e+02 | Mean=3.3048e+00
Trigger=2025-02-03T06:16:09.980000Z | Window=±20s | Peak=7.0964e+02 | Mean=4.4605e+00
Trigger=2025-02-03T06:25:28.610000Z | Window=±20s | Peak=1.5635e+03 | Mean=6.6099e+00
Trigger=2025-02-03T06:27:09.880000Z | Window=±20s | Peak=2.1091e+03 | Mean=9.2238e+00
Trigger=2025-02-03T06:39:14.200000Z | Window=±20s | Peak=1.9897e+03 | Mean=3.8230e+00
Trigger=2025-02-03T07:30:09.160000Z | Window=±20s | Peak=8.5181e+02 | Mean=2.9691e+00
Trigger=2025-02-03T07:36:56.370000Z | Window=±20s | Peak=2.6116e+03 | Mean=7.0795e+00
Trigger=2025-02-03T07:58:59.650000Z | Window=±20s | Peak=8.0994e+02 | Mean=5.6272e+00
Trigger=2025-02-03T07:59:12.080000Z | Window=±20s | Peak=5.9435e+02 | Mean=4.1384e+00
Trigger=2025-02-03T08:18:42.030000Z | Window=±20s | Peak=4.0796e+02 | Mean=3.6173e+00
Trigger=2025-02-03T08:19:11.780000Z | Window=±20s | Peak=2.5624e+03 | Mean=7.2818e+00
Trigger=2025-02-03T08:31:48.100000Z | Window=±20s | Peak=4.9879e+02 | Mean=4.0326e+00
Trigger=2025-02-03T09:02:03.700000Z | Window=±20s | Peak=1.9347e+03 | Mean=7.3631e+00
Trigger=2025-02-03T09:32:00.620000Z | Window=±20s | Peak=8.8186e+02 | Mean=2.2708e+00
Trigger=2025-02-03T09:34:51.570000Z | Window=±20s | Peak=8.9900e+02 | Mean=4.1378e+00
Trigger=2025-02-03T09:35:27.630000Z | Window=±20s | Peak=1.5861e+03 | Mean=6.7906e+00
Trigger=2025-02-03T09:42:34.990000Z | Window=±20s | Peak=1.4300e+03 | Mean=1.6090e+01
Trigger=2025-02-03T09:46:34.940000Z | Window=±20s | Peak=3.0420e+02 | Mean=5.0829e+00
Trigger=2025-02-03T09:55:50.120000Z | Window=±20s | Peak=1.4194e+03 | Mean=7.2918e+00
Trigger=2025-02-03T10:04:30.390000Z | Window=±20s | Peak=1.6269e+03 | Mean=5.9465e+00
Trigger=2025-02-03T10:23:11.700000Z | Window=±20s | Peak=1.8754e+03 | Mean=3.3942e+00
Trigger=2025-02-03T10:24:17.580000Z | Window=±20s | Peak=1.2122e+03 | Mean=9.1881e+00
Trigger=2025-02-03T10:28:12.560000Z | Window=±20s | Peak=1.0948e+03 | Mean=5.4079e+00
Trigger=2025-02-03T10:44:23.980000Z | Window=±20s | Peak=8.8463e+02 | Mean=5.5253e+00
Trigger=2025-02-03T10:51:48.260000Z | Window=±20s | Peak=1.6548e+03 | Mean=7.3399e+00
Trigger=2025-02-03T11:04:41.810000Z | Window=±20s | Peak=1.3993e+03 | Mean=6.0115e+00
Trigger=2025-02-03T11:15:47.420000Z | Window=±20s | Peak=9.2424e+02 | Mean=3.1714e+00
Trigger=2025-02-03T11:19:04.930000Z | Window=±20s | Peak=1.5685e+03 | Mean=3.5126e+00
Trigger=2025-02-03T11:20:02.780000Z | Window=±20s | Peak=6.5372e+02 | Mean=5.9268e+00
Trigger=2025-02-03T11:26:44.270000Z | Window=±20s | Peak=1.9800e+03 | Mean=9.0787e+00
Trigger=2025-02-03T11:37:06.130000Z | Window=±20s | Peak=1.2759e+03 | Mean=5.9033e+00
Trigger=2025-02-03T11:54:35.130000Z | Window=±20s | Peak=8.3983e+02 | Mean=3.4750e+00
Trigger=2025-02-03T12:11:01.710000Z | Window=±20s | Peak=1.6039e+03 | Mean=4.9226e+00
Trigger=2025-02-03T12:36:37.540000Z | Window=±20s | Peak=1.1409e+03 | Mean=4.4271e+00
Trigger=2025-02-03T12:39:11.390000Z | Window=±20s | Peak=1.2940e+03 | Mean=4.2170e+00
Trigger=2025-02-03T12:52:33.120000Z | Window=±20s | Peak=8.2849e+01 | Mean=2.6103e+00
Trigger=2025-02-03T12:53:19.900000Z | Window=±20s | Peak=1.8728e+03 | Mean=8.1002e+00
Trigger=2025-02-03T13:00:10.970000Z | Window=±20s | Peak=3.5049e+02 | Mean=3.5317e+00
Trigger=2025-02-03T13:00:37.360000Z | Window=±20s | Peak=2.0669e+03 | Mean=6.7443e+00
Trigger=2025-02-03T13:32:07.220000Z | Window=±20s | Peak=1.3186e+03 | Mean=4.8217e+00
Trigger=2025-02-03T15:36:22.210000Z | Window=±20s | Peak=7.9026e+02 | Mean=6.7049e+00
Trigger=2025-02-03T15:46:07.890000Z | Window=±20s | Peak=1.8406e+03 | Mean=4.1338e+00
Trigger=2025-02-03T15:52:31.810000Z | Window=±20s | Peak=1.6654e+03 | Mean=4.1503e+00
Trigger=2025-02-03T17:09:00.490000Z | Window=±20s | Peak=8.0652e+02 | Mean=3.4401e+00
Trigger=2025-02-03T17:33:23.930000Z | Window=±20s | Peak=1.5699e+03 | Mean=4.3459e+00
Trigger=2025-02-03T17:50:35.260000Z | Window=±20s | Peak=1.2301e+03 | Mean=3.1518e+00
Trigger=2025-02-03T17:55:14.140000Z | Window=±20s | Peak=1.6865e+03 | Mean=6.2687e+00
Trigger=2025-02-03T18:58:28.080000Z | Window=±20s | Peak=8.8515e+02 | Mean=2.6785e+00
Trigger=2025-02-03T19:21:29.070000Z | Window=±20s | Peak=7.4641e+02 | Mean=2.6485e+00
Trigger=2025-02-03T22:21:59.210000Z | Window=±20s | Peak=1.0293e+03 | Mean=3.4033e+00
Trigger=2025-02-04T01:14:36.640000Z | Window=±20s | Peak=9.4979e+02 | Mean=3.4101e+00
