Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[12], FRANGE = (3, 30), QRANGE = (10, 32), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 20, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-03T10:04:30.390000Z | Window=±12s | Peak=1.5765e+03 | Mean=5.2127e+00
Trigger=2025-02-03T10:23:11.700000Z | Window=±12s | Peak=1.3207e+03 | Mean=3.4176e+00
Trigger=2025-02-03T10:24:17.580000Z | Window=±12s | Peak=1.0850e+03 | Mean=1.0236e+01
Trigger=2025-02-03T10:28:12.560000Z | Window=±12s | Peak=3.3550e+02 | Mean=4.9137e+00
Trigger=2025-02-03T10:44:23.980000Z | Window=±12s | Peak=1.8889e+02 | Mean=3.1697e+00
Trigger=2025-02-03T10:51:48.260000Z | Window=±12s | Peak=8.8366e+02 | Mean=4.4910e+00
Trigger=2025-02-03T11:04:41.810000Z | Window=±12s | Peak=9.8884e+02 | Mean=6.3632e+00
Trigger=2025-02-03T11:15:47.420000Z | Window=±12s | Peak=9.3241e+02 | Mean=3.6397e+00
Trigger=2025-02-03T11:19:04.930000Z | Window=±12s | Peak=1.2936e+03 | Mean=4.1263e+00
Trigger=2025-02-03T11:20:02.780000Z | Window=±12s | Peak=8.0134e+02 | Mean=5.5372e+00
Trigger=2025-02-03T11:26:44.270000Z | Window=±12s | Peak=9.9934e+02 | Mean=5.7142e+00
Trigger=2025-02-03T11:37:06.130000Z | Window=±12s | Peak=8.5835e+02 | Mean=7.0522e+00
Trigger=2025-02-03T11:54:35.130000Z | Window=±12s | Peak=4.4642e+02 | Mean=3.5526e+00
Trigger=2025-02-03T12:11:01.710000Z | Window=±12s | Peak=5.4322e+02 | Mean=3.8896e+00
Trigger=2025-02-03T12:36:37.540000Z | Window=±12s | Peak=1.3241e+03 | Mean=6.4861e+00
Trigger=2025-02-03T12:39:11.390000Z | Window=±12s | Peak=1.0310e+03 | Mean=3.4634e+00
Trigger=2025-02-03T12:52:33.120000Z | Window=±12s | Peak=6.8238e+01 | Mean=2.4414e+00
Trigger=2025-02-03T12:53:19.900000Z | Window=±12s | Peak=1.3265e+03 | Mean=7.4321e+00
Trigger=2025-02-03T13:00:10.970000Z | Window=±12s | Peak=3.5847e+02 | Mean=3.5910e+00
Trigger=2025-02-03T13:00:37.360000Z | Window=±12s | Peak=1.8676e+03 | Mean=6.1590e+00
Trigger=2025-02-03T13:32:07.220000Z | Window=±12s | Peak=1.2919e+03 | Mean=4.8212e+00
Trigger=2025-02-03T15:36:22.210000Z | Window=±12s | Peak=6.2722e+02 | Mean=5.4656e+00
Trigger=2025-02-03T15:46:07.890000Z | Window=±12s | Peak=2.2350e+03 | Mean=5.4862e+00
Trigger=2025-02-03T15:52:31.810000Z | Window=±12s | Peak=1.5099e+03 | Mean=3.2342e+00
Trigger=2025-02-03T17:09:00.490000Z | Window=±12s | Peak=1.0906e+03 | Mean=3.3149e+00
Trigger=2025-02-03T17:33:23.930000Z | Window=±12s | Peak=1.0618e+03 | Mean=2.9349e+00
Trigger=2025-02-03T17:50:35.260000Z | Window=±12s | Peak=8.4771e+02 | Mean=3.3315e+00
Trigger=2025-02-03T17:55:14.140000Z | Window=±12s | Peak=1.4114e+03 | Mean=5.4679e+00
Trigger=2025-02-03T18:58:28.080000Z | Window=±12s | Peak=5.3413e+02 | Mean=2.7076e+00
Trigger=2025-02-03T19:21:29.070000Z | Window=±12s | Peak=6.9855e+02 | Mean=2.9168e+00
Trigger=2025-02-03T22:21:59.210000Z | Window=±12s | Peak=1.3181e+03 | Mean=3.0655e+00
Trigger=2025-02-04T01:14:36.640000Z | Window=±12s | Peak=1.4266e+03 | Mean=4.3724e+00
Trigger=2025-02-04T01:33:48.920000Z | Window=±12s | Peak=6.5447e+02 | Mean=4.7963e+00
Trigger=2025-02-04T01:34:31.020000Z | Window=±12s | Peak=1.0411e+03 | Mean=8.6726e+00
Trigger=2025-02-04T02:06:18.310000Z | Window=±12s | Peak=2.8923e+02 | Mean=2.8356e+00
Trigger=2025-02-04T03:00:19.740000Z | Window=±12s | Peak=1.2292e+03 | Mean=3.3054e+00
Trigger=2025-02-04T03:00:50.510000Z | Window=±12s | Peak=9.0798e+02 | Mean=8.2566e+00
Trigger=2025-02-04T03:08:25.610000Z | Window=±12s | Peak=5.8063e+02 | Mean=3.6826e+00
Trigger=2025-02-04T03:47:03.730000Z | Window=±12s | Peak=2.6086e+02 | Mean=4.1920e+00
Trigger=2025-02-04T04:30:31.350000Z | Window=±12s | Peak=4.5474e+02 | Mean=6.1675e+00
Trigger=2025-02-04T05:11:07.170000Z | Window=±12s | Peak=7.6922e+02 | Mean=5.2460e+00
Trigger=2025-02-04T05:18:36.170000Z | Window=±12s | Peak=8.0746e+02 | Mean=3.8729e+00
Trigger=2025-02-04T05:33:16.700000Z | Window=±12s | Peak=8.5415e+02 | Mean=6.4978e+00
Trigger=2025-02-04T05:33:27.890000Z | Window=±12s | Peak=7.8119e+02 | Mean=4.6318e+00
Trigger=2025-02-04T05:47:11.010000Z | Window=±12s | Peak=1.2110e+03 | Mean=3.5282e+00
Trigger=2025-02-04T06:03:26.350000Z | Window=±12s | Peak=8.3485e+02 | Mean=8.3639e+00
Trigger=2025-02-04T06:07:11.020000Z | Window=±12s | Peak=1.7149e+02 | Mean=3.6573e+00
Trigger=2025-02-04T06:44:54.700000Z | Window=±12s | Peak=6.9784e+02 | Mean=4.1085e+00
Trigger=2025-02-04T06:50:45.000000Z | Window=±12s | Peak=1.2729e+03 | Mean=4.4904e+00
Trigger=2025-02-04T07:10:00.940000Z | Window=±12s | Peak=3.0432e+02 | Mean=3.0549e+00
Trigger=2025-02-04T07:19:32.560000Z | Window=±12s | Peak=1.0463e+03 | Mean=6.3120e+00
Trigger=2025-02-04T07:23:05.350000Z | Window=±12s | Peak=3.8153e+02 | Mean=3.4483e+00
Trigger=2025-02-04T07:29:28.460000Z | Window=±12s | Peak=2.6635e+02 | Mean=6.0145e+00
