N_Neighbors,Min_dist,Repulsion_str,metric,spearman_rho,p_value,n_pairs,pdf,status,error
1000,0.5,0.5,manhattan,0.42588546641859615,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.5_repstr0.5_manhattan.pdf,OK,
5,0.5,2.0,euclidean,0.4258308509110021,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.5_repstr2.0_euclidean.pdf,OK,
100,0.99,10.0,euclidean,0.4258267494861317,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.99_repstr10.0_euclidean.pdf,OK,
1000,0.1,0.5,cosine,0.4258228963006138,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.1_repstr0.5_cosine.pdf,OK,
20,0.1,5.0,manhattan,0.4258122150236688,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.1_repstr5.0_manhattan.pdf,OK,
50,0.8,1.0,euclidean,0.42579348192310174,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.8_repstr1.0_euclidean.pdf,OK,
200,0.99,10.0,euclidean,0.4257857230069285,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.99_repstr10.0_euclidean.pdf,OK,
5,0.99,10.0,manhattan,0.42575836233847464,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.99_repstr10.0_manhattan.pdf,OK,
100,0.5,2.0,euclidean,0.42574160765360797,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.5_repstr2.0_euclidean.pdf,OK,
20,0.99,10.0,cosine,0.42572873641936554,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.99_repstr10.0_cosine.pdf,OK,
5,0.5,0.5,manhattan,0.42572847701205063,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.5_repstr0.5_manhattan.pdf,OK,
20,0.8,0.5,cosine,0.4257217564569114,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.8_repstr0.5_cosine.pdf,OK,
50,0.25,100.0,cosine,0.42571740866814267,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.25_repstr100.0_cosine.pdf,OK,
100,0.5,5.0,euclidean,0.42571487522448487,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.5_repstr5.0_euclidean.pdf,OK,
100,0.25,0.5,cosine,0.42567893987081856,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.25_repstr0.5_cosine.pdf,OK,
50,0.5,5.0,manhattan,0.425673428283531,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.5_repstr5.0_manhattan.pdf,OK,
100,0.0,10.0,cosine,0.4256717015774315,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.0_repstr10.0_cosine.pdf,OK,
5,0.5,10.0,euclidean,0.4256661179799671,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.5_repstr10.0_euclidean.pdf,OK,
20,0.5,10.0,euclidean,0.42566287071699865,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.5_repstr10.0_euclidean.pdf,OK,
2,0.8,100.0,manhattan,0.42565869761069347,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.8_repstr100.0_manhattan.pdf,OK,
50,0.25,0.5,cosine,0.42564155487518907,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.25_repstr0.5_cosine.pdf,OK,
200,0.0,0.01,euclidean,0.425636771875803,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.0_repstr0.01_euclidean.pdf,OK,
100,0.5,0.01,manhattan,0.42562796920605683,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.5_repstr0.01_manhattan.pdf,OK,
20,0.25,1.0,euclidean,0.4256237777267683,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.25_repstr1.0_euclidean.pdf,OK,
2,0.8,0.01,euclidean,0.4256106155156008,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.8_repstr0.01_euclidean.pdf,OK,
5,0.5,5.0,euclidean,0.4255648478774108,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.5_repstr5.0_euclidean.pdf,OK,
5,0.25,5.0,euclidean,0.4255347150957489,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.25_repstr5.0_euclidean.pdf,OK,
100,0.99,0.01,euclidean,0.4255281230454784,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.99_repstr0.01_euclidean.pdf,OK,
20,0.5,5.0,cosine,0.42552395551210964,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.5_repstr5.0_cosine.pdf,OK,
20,0.1,0.01,manhattan,0.42551152553126753,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.1_repstr0.01_manhattan.pdf,OK,
5,0.99,100.0,cosine,0.425498857759806,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.99_repstr100.0_cosine.pdf,OK,
20,0.8,10.0,cosine,0.4254968811425387,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.8_repstr10.0_cosine.pdf,OK,
50,0.25,2.0,manhattan,0.42549227731016254,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.25_repstr2.0_manhattan.pdf,OK,
5,0.0,10.0,manhattan,0.4254856148981353,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.0_repstr10.0_manhattan.pdf,OK,
100,0.8,5.0,manhattan,0.4254616981771734,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.8_repstr5.0_manhattan.pdf,OK,
200,0.5,10.0,cosine,0.4254265700035707,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.5_repstr10.0_cosine.pdf,OK,
200,0.5,2.0,cosine,0.4254219704621268,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.5_repstr2.0_cosine.pdf,OK,
100,0.0,100.0,manhattan,0.4254059313090274,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.0_repstr100.0_manhattan.pdf,OK,
2,0.99,0.5,euclidean,0.425395672192774,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.99_repstr0.5_euclidean.pdf,OK,
2,0.99,5.0,cosine,0.42538855485862254,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.99_repstr5.0_cosine.pdf,OK,
5,0.0,100.0,cosine,0.42537123134732646,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.0_repstr100.0_cosine.pdf,OK,
50,0.25,5.0,cosine,0.4253632280972838,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.25_repstr5.0_cosine.pdf,OK,
2,0.1,10.0,euclidean,0.4253539126486592,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.1_repstr10.0_euclidean.pdf,OK,
1000,0.8,0.5,cosine,0.4253537026723049,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.8_repstr0.5_cosine.pdf,OK,
100,0.99,1.0,cosine,0.4253482218532314,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.99_repstr1.0_cosine.pdf,OK,
20,0.0,100.0,cosine,0.425325246261515,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.0_repstr100.0_cosine.pdf,OK,
50,0.0,0.01,manhattan,0.4253098886414282,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.0_repstr0.01_manhattan.pdf,OK,
2,0.25,100.0,cosine,0.4253069925182788,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.25_repstr100.0_cosine.pdf,OK,
100,0.1,0.01,cosine,0.4253038656233087,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.1_repstr0.01_cosine.pdf,OK,
20,0.0,0.01,euclidean,0.42529566891181414,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.0_repstr0.01_euclidean.pdf,OK,
2,0.1,100.0,manhattan,0.42529477595834414,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.1_repstr100.0_manhattan.pdf,OK,
50,0.1,0.5,cosine,0.42529175377344675,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.1_repstr0.5_cosine.pdf,OK,
100,0.25,100.0,manhattan,0.42527750778453466,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.25_repstr100.0_manhattan.pdf,OK,
20,0.0,1.0,manhattan,0.4252718452868808,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.0_repstr1.0_manhattan.pdf,OK,
200,0.25,0.5,manhattan,0.4252543272455872,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.25_repstr0.5_manhattan.pdf,OK,
5,0.1,0.01,manhattan,0.42525014097853836,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.1_repstr0.01_manhattan.pdf,OK,
20,0.1,2.0,manhattan,0.42523247087676397,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.1_repstr2.0_manhattan.pdf,OK,
100,0.1,10.0,manhattan,0.4252104328371418,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.1_repstr10.0_manhattan.pdf,OK,
100,0.1,0.5,cosine,0.4251857555772895,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.1_repstr0.5_cosine.pdf,OK,
1000,0.25,0.01,manhattan,0.4251844728171559,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.25_repstr0.01_manhattan.pdf,OK,
50,0.8,2.0,manhattan,0.4251794960086366,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.8_repstr2.0_manhattan.pdf,OK,
20,0.99,10.0,euclidean,0.4251628297606176,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.99_repstr10.0_euclidean.pdf,OK,
50,0.8,5.0,cosine,0.4251590963882701,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.8_repstr5.0_cosine.pdf,OK,
100,0.0,5.0,euclidean,0.425139983086877,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.0_repstr5.0_euclidean.pdf,OK,
5,0.1,0.5,euclidean,0.42512083872453427,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.1_repstr0.5_euclidean.pdf,OK,
1000,0.5,10.0,manhattan,0.42511565409629903,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.5_repstr10.0_manhattan.pdf,OK,
50,0.8,1.0,cosine,0.42510795493905595,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.8_repstr1.0_cosine.pdf,OK,
20,0.8,5.0,euclidean,0.42510558102881135,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.8_repstr5.0_euclidean.pdf,OK,
1000,0.25,0.5,euclidean,0.4250872523041112,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.25_repstr0.5_euclidean.pdf,OK,
200,0.5,2.0,euclidean,0.42507141904975626,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.5_repstr2.0_euclidean.pdf,OK,
2,0.0,5.0,euclidean,0.42507036525057684,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.0_repstr5.0_euclidean.pdf,OK,
20,0.8,5.0,cosine,0.425069320800792,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.8_repstr5.0_cosine.pdf,OK,
200,0.5,100.0,cosine,0.4250594001640279,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.5_repstr100.0_cosine.pdf,OK,
200,0.8,100.0,manhattan,0.42505660342805635,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.8_repstr100.0_manhattan.pdf,OK,
1000,0.0,5.0,manhattan,0.42505361081997106,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.0_repstr5.0_manhattan.pdf,OK,
1000,0.5,2.0,cosine,0.42504985480792257,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.5_repstr2.0_cosine.pdf,OK,
2,0.99,0.01,euclidean,0.4250491940721659,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.99_repstr0.01_euclidean.pdf,OK,
200,0.99,5.0,manhattan,0.4250487709408641,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.99_repstr5.0_manhattan.pdf,OK,
50,0.1,1.0,euclidean,0.42503615218868296,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.1_repstr1.0_euclidean.pdf,OK,
5,0.5,2.0,manhattan,0.42502666063683353,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.5_repstr2.0_manhattan.pdf,OK,
1000,0.8,0.01,euclidean,0.4250087384238816,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.8_repstr0.01_euclidean.pdf,OK,
200,0.8,0.5,cosine,0.4250079510858971,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.8_repstr0.5_cosine.pdf,OK,
20,0.1,1.0,euclidean,0.42500300592005463,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.1_repstr1.0_euclidean.pdf,OK,
200,0.25,2.0,euclidean,0.42500268654353407,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.25_repstr2.0_euclidean.pdf,OK,
200,0.8,5.0,manhattan,0.42499296346557563,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.8_repstr5.0_manhattan.pdf,OK,
20,0.0,1.0,euclidean,0.42497856535251294,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.0_repstr1.0_euclidean.pdf,OK,
200,0.1,1.0,euclidean,0.4249776751496286,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.1_repstr1.0_euclidean.pdf,OK,
1000,0.99,2.0,manhattan,0.42497488497810065,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.99_repstr2.0_manhattan.pdf,OK,
5,0.5,100.0,euclidean,0.424969731557783,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.5_repstr100.0_euclidean.pdf,OK,
2,0.25,5.0,euclidean,0.42496784140309546,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.25_repstr5.0_euclidean.pdf,OK,
50,0.0,0.5,manhattan,0.4249671238364095,0.0,99990,umap_shepard_results/pdf/umap_shepard _n50_m0.0_repstr0.5_manhattan.pdf,OK,
200,0.25,0.01,manhattan,0.4249560183714343,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.25_repstr0.01_manhattan.pdf,OK,
5,0.25,5.0,cosine,0.42495537317405924,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.25_repstr5.0_cosine.pdf,OK,
5,0.5,10.0,manhattan,0.42495413261136034,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.5_repstr10.0_manhattan.pdf,OK,
2,0.0,0.5,euclidean,0.4249478565721492,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.0_repstr0.5_euclidean.pdf,OK,
100,0.0,2.0,manhattan,0.4249437502748822,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.0_repstr2.0_manhattan.pdf,OK,
200,0.99,2.0,cosine,0.4249205079304365,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.99_repstr2.0_cosine.pdf,OK,
100,0.0,2.0,cosine,0.42491437849923314,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.0_repstr2.0_cosine.pdf,OK,
20,0.1,2.0,euclidean,0.42491216557011996,0.0,99990,umap_shepard_results/pdf/umap_shepard _n20_m0.1_repstr2.0_euclidean.pdf,OK,
2,0.5,100.0,cosine,0.42490422064565914,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.5_repstr100.0_cosine.pdf,OK,
